,sentence,target,target_type,category,polarity,opinin_Term
1198,"For desserts , we tried the frozen black sesame mousse ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal .",matcha ( powdered green tea ) and blueberry cheesecake,explicit,FOOD QUALITY,positive,phenomenal
1199,Worth the trip from Manhattan .,NULL,implicit,RESTAURANT GENERAL,positive,Worth
1200,The price very reasonable .,NULL,implicit,RESTAURANT PRICES,positive,reasonable
1201,Drawbacks : service is slow and they don't toast !,service,explicit,SERVICE GENERAL,negative,slow
1202,They were very abrupt with me when I called and actually claimed the food was late because they were out of rice .,NULL,implicit,SERVICE GENERAL,negative,abrupt
1203,I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere !,manager,explicit,SERVICE GENERAL,negative,take my business elsewhere
1204,"THE SERVICE IS AMAZING , i 've had different waiters and they were all nice , which is a rare thing in NYC .",SERVICE,explicit,SERVICE GENERAL,positive,AMAZING
1205,"THE SERVICE IS AMAZING , i 've had different waiters and they were all nice , which is a rare thing in NYC .",waiters,explicit,SERVICE GENERAL,positive,nice
1206,So I decide to report back to the waitress because it was completely inedible .,NULL,implicit,FOOD QUALITY,negative,inedible
1207,I would highly recommend .,NULL,implicit,RESTAURANT GENERAL,positive,highly recommend
1208,The food was well prepared and the service impecable .,food,explicit,FOOD QUALITY,positive,well prepared
1209,The food was well prepared and the service impecable .,service,explicit,SERVICE GENERAL,positive,impecable
1210,"The food is outstanding and the service is quick , friendly and very professional .",food,explicit,FOOD QUALITY,positive,outstanding
1211,"The food is outstanding and the service is quick , friendly and very professional .",service,explicit,SERVICE GENERAL,positive,quick
1212,"The food is outstanding and the service is quick , friendly and very professional .",service,explicit,SERVICE GENERAL,positive,friendly
1213,"The food is outstanding and the service is quick , friendly and very professional .",service,explicit,SERVICE GENERAL,positive,professional
1214,They even scoop it out nice ( for those on a diet ) not too much not to little .,NULL,implicit,FOOD STYLE_OPTIONS,positive,nice
1215,Best Indian Restaurant in the City,Indian Restaurant,explicit,RESTAURANT GENERAL,positive,Best
1216,"From the spectacular caviar to the hospitable waitstaff , I felt like royalty and enjoyed every second of it .",caviar,explicit,FOOD QUALITY,positive,spectacular
1217,"From the spectacular caviar to the hospitable waitstaff , I felt like royalty and enjoyed every second of it .",caviar,explicit,FOOD QUALITY,positive,enjoyed
1218,"From the spectacular caviar to the hospitable waitstaff , I felt like royalty and enjoyed every second of it .",waitstaff,explicit,SERVICE GENERAL,positive,hospitable
1219,"From the spectacular caviar to the hospitable waitstaff , I felt like royalty and enjoyed every second of it .",waitstaff,explicit,SERVICE GENERAL,positive,enjoyed
1220,I agree that dining at Casa La Femme is like no other dining experience !,Casa La Femme,explicit,RESTAURANT GENERAL,negative,like no other dining experience
1221,"Best Indian Chinese in the city , by far !",Indian Chinese,explicit,FOOD QUALITY,positive,Best
1222,"There was a small wait , but shorter than I expected .",wait,explicit,SERVICE GENERAL,positive,small
1223,"There was a small wait , but shorter than I expected .",wait,explicit,SERVICE GENERAL,positive,shorter
1224,"But after last night , Spice Grill is the only place I'm eating indian cuisine .",indian cuisine,explicit,FOOD QUALITY,positive,the only place
1225,"The food is decent at best , and the ambience , well , it's a matter of opinion , some may consider it to be a sweet thing , I thought it was just annoying .",food,explicit,FOOD QUALITY,negative,decent
1226,"The food is decent at best , and the ambience , well , it's a matter of opinion , some may consider it to be a sweet thing , I thought it was just annoying .",ambience,explicit,AMBIENCE GENERAL,negative,annoying
1227,"Personally I like the margherita pizza better , but they are all good .",margherita pizza,explicit,FOOD QUALITY,positive,like
1228,"Personally I like the margherita pizza better , but they are all good .",NULL,implicit,FOOD QUALITY,positive,good
1229,If it seemed possible to do so while there I would have fought my bill since my dinner portion of my meal was inedible !,meal,explicit,FOOD QUALITY,negative,inedible
1230,If it seemed possible to do so while there I would have fought my bill since my dinner portion of my meal was inedible !,NULL,implicit,RESTAURANT PRICES,negative,fought my bill
1231,"At first glance this place seems a bit pricey for a hot dog joint , but at Bark you don't just get your average hot dog .",Bark,explicit,RESTAURANT PRICES,negative,pricey
1232,The sashimi is always fresh and the rolls are innovative and delicious .,sashimi,explicit,FOOD QUALITY,positive,fresh
1233,The sashimi is always fresh and the rolls are innovative and delicious .,rolls,explicit,FOOD STYLE_OPTIONS,positive,innovative
1234,The sashimi is always fresh and the rolls are innovative and delicious .,rolls,explicit,FOOD QUALITY,positive,delicious
1235,I ca n't wait to go back .,NULL,implicit,RESTAURANT GENERAL,positive,go back
1236,Delivery can be spot on or lacking depending on the weather and the day of the week .,Delivery,explicit,SERVICE GENERAL,negative,lacking
1237,There are no negatives to speak of .,NULL,implicit,RESTAURANT GENERAL,positive,no negatives
1238,The Four Seasons restaurant is a great experience .,The Four Seasons restaurant,explicit,RESTAURANT GENERAL,positive,great
1239,"Seriously , this place kicks ass .",place,explicit,RESTAURANT GENERAL,positive,kicks ass
1240,I 've enjoyed 99 % of the dishes we 've ordered with the only exceptions being the occasional too-authentic-for-me dish ( I'm a daring eater but not THAT daring ) .,dishes,explicit,FOOD QUALITY,positive,enjoyed
1241,I 've enjoyed 99 % of the dishes we 've ordered with the only exceptions being the occasional too-authentic-for-me dish ( I'm a daring eater but not THAT daring ) .,dish,explicit,FOOD QUALITY,negative,too-authentic-for-me
1242,Ca n't wait to go back .,NULL,implicit,RESTAURANT GENERAL,positive,go back
1243,amazing fresh dogs but best of all endless toppings ! ! !,dogs,explicit,FOOD QUALITY,positive,amazing fresh
1244,amazing fresh dogs but best of all endless toppings ! ! !,toppings,explicit,FOOD STYLE_OPTIONS,positive,best
1245,amazing fresh dogs but best of all endless toppings ! ! !,toppings,explicit,FOOD STYLE_OPTIONS,positive,endless
1246,"Love this place , every time we are in the city this is one of the places we always go .",place,explicit,RESTAURANT GENERAL,positive,Love
1247,Service is not what one would expect from a joint in this price category .,Service,explicit,SERVICE GENERAL,negative,not what one would expect
1248,I stumbled upon this great pizzeria as I explored my new neighborhood .,pizzeria,explicit,RESTAURANT GENERAL,positive,great
1249,This quaint and romantic trattoria is at the top of my Manhattan restaurant list .,trattoria,explicit,AMBIENCE GENERAL,positive,quaint
1250,This quaint and romantic trattoria is at the top of my Manhattan restaurant list .,trattoria,explicit,RESTAURANT GENERAL,positive,romantic
1251,The food was delicious but do not come here on a empty stomach .,food,explicit,FOOD QUALITY,positive,delicious
1252,Patsy 's Pizza - true love,Patsy 's Pizza,explicit,RESTAURANT GENERAL,positive,true love
1253,"Average to good Thai food , but terrible delivery .",Thai food,explicit,FOOD QUALITY,positive,Average to good
1254,"Average to good Thai food , but terrible delivery .",delivery,explicit,SERVICE GENERAL,negative,terrible
1255,I heartily recommend .,NULL,implicit,RESTAURANT GENERAL,positive,recommend
1256,You can get a table without a reservation if you get there early I they don't make you by bottles .,NULL,implicit,SERVICE GENERAL,positive,get a table without a reservation
1257,"You are not eating haut cuisine with subtle hints of whatever but : Cassuolet , Steake Fritte , Tripe Stew , etc ; simple stuff .",NULL,implicit,FOOD STYLE_OPTIONS,positive,simple
1258,"You are not eating haut cuisine with subtle hints of whatever but : Cassuolet , Steake Fritte , Tripe Stew , etc ; simple stuff .",NULL,implicit,FOOD QUALITY,positive,subtle hints of whatever
1259,"For the price , you cannot eat this well in Manhattan .",NULL,implicit,RESTAURANT PRICES,negative,cannot eat this well
1260,"One of the best , if not THE best , restaurants in Park Slope ( and NY in general )",NULL,implicit,RESTAURANT GENERAL,positive,best
1261,Always busy but fast moving .,NULL,implicit,SERVICE GENERAL,positive,fast moving
1262,"I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .",sea urchin,explicit,FOOD QUALITY,positive,heavenly
1263,Yakitori ( bbq meats ) is tasty too .,Yakitori ( bbq meats ),explicit,FOOD QUALITY,positive,tasty
1264,"Whenever you need a Sushi fix , Mizu will be there with quality fish and great service .",fish,explicit,FOOD QUALITY,positive,quality
1265,"Whenever you need a Sushi fix , Mizu will be there with quality fish and great service .",service,explicit,SERVICE GENERAL,positive,great
1266,Faan is sooo good .,Faan,explicit,RESTAURANT GENERAL,positive,good
1267,"Fresh , mind blowing flavors .",NULL,implicit,FOOD QUALITY,positive,Fresh
1268,"Fresh , mind blowing flavors .",NULL,implicit,FOOD QUALITY,positive,mind blowing
1269,"don't judge this place prima facie , you have to try it and believe it , a home away from home for the literate heart .",place,explicit,RESTAURANT GENERAL,positive,try it and believe it
1270,Fish is so very fresh .,Fish,explicit,FOOD QUALITY,positive,fresh
1271,My boyfriend had Prime Rib it was good .,Prime Rib,explicit,FOOD QUALITY,positive,good
1272,Drinks way over priced .,Drinks,explicit,DRINKS PRICES,negative,over priced
1273,Unique apppetizers .,apppetizers,explicit,FOOD QUALITY,positive,Unique
1274,it's a great place to order from or sit-in .,place,explicit,RESTAURANT MISCELLANEOUS,positive,great
1275,The food is great and reasonably priced .,food,explicit,FOOD QUALITY,positive,great
1276,The food is great and reasonably priced .,food,explicit,FOOD PRICES,positive,reasonably priced
1277,"When we sat , we got great and fast service .",service,explicit,SERVICE GENERAL,positive,great
1278,"When we sat , we got great and fast service .",service,explicit,SERVICE GENERAL,positive,fast
1279,"Be sure to try the seasonal , and always delicious , specials .",specials,explicit,FOOD QUALITY,positive,try
1280,"Be sure to try the seasonal , and always delicious , specials .",specials,explicit,FOOD QUALITY,positive,seasonal
